瘤痢,斥档,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅
芒盔,2007, , ,2007-09-23,9老, , ,2007-10-27,-4老,2007-11-16,7老, , , , , , ,2007-10-25,-6老,2007-11-16,6老, , , , , , ,2007-12-08,7老,2008-03-06,9老, , , , , , 
芒盔,2008, , ,2008-09-11,-3老, , ,2008-10-29,-2老,2008-11-11,2老, , , , , , ,2008-10-27,-4老,2008-11-10,0老, , , , , , ,2008-12-01,0老,2009-03-15,17老, , , , , , 
芒盔,2009, , ,2009-09-10,-4老, , ,2009-10-30,-1老,2009-11-05,-4老, , , , , , ,2009-11-03,3老,2009-11-09,-1老, , , , , , ,2009-12-02,1老,2009-12-22,-66老, , , , , , 
芒盔,2010, , ,2010-09-18,4老, , ,2010-10-26,-5老,2010-11-01,-8老, , , , , , ,2010-10-27,-4老,2010-11-01,-9老, , , , , , ,2010-12-05,4老,2011-04-04,37老, , , , , , 
芒盔,2011, , ,2011-09-14,0老, , ,2011-10-28,-3老,2011-11-03,-6老, , , , , , ,2011-10-25,-6老,2011-11-03,-7老, , , , , , ,2011-11-24,-7老,2012-02-06,-20老, , , , , , 
芒盔,2012,2012-04-13,4老,2012-09-21,7老, , ,2012-10-29,-2老,2012-11-07,-2老, , , , , , ,2012-10-29,-2老,2012-11-07,-3老, , , , , , ,2012-11-19,-12老,2013-03-12,14老, , , , , , 
芒盔,2013,2013-04-15,6老,2013-09-18,4老, , ,2013-10-30,-1老,2013-11-08,-1老, , , , , , ,2013-10-31,0老,2013-11-10,0老, , , , , , ,2013-11-21,-10老,2014-02-23,-3老, , , , , , 
芒盔,2014, , ,2014-09-13,-1老, , ,2014-11-05,5老,2014-11-15,6老, , , , , , ,2014-11-05,5老,2014-11-15,5老, , , , , , ,2014-11-15,-16老,2015-03-15,17老, , , , , , 
芒盔,2015, , ,2015-09-13,-1老, , ,2015-11-05,5老,2015-11-16,7老, , , , , , ,2015-11-05,5老,2015-11-16,6老, , , , , , ,2015-12-07,6老,2016-03-03,6老, , , , , , 
芒盔,2016, , ,2016-09-13,-1老,2016-09-22, , , , , , , , , , , ,2016-11-01,1老, , , , , , , , ,2016-12-08,7老,2017-03-17,19老, , , , , , 
芒盔,2017, , ,2017-09-14,0老,2017-09-22, , , , , , , , , , , ,2017-11-06,6老,2017-11-17,7老, , , , , , ,2017-11-21,-10老,2018-03-17,19老, , , , , , 
芒盔,2018, , ,2018-09-20,6老, , , , , , , , , , , , ,2018-11-05,5老,2018-11-14,4老, , , , , , ,2018-12-17,16老,2019-02-02,-24老, , , , , , 
芒盔,2019, , ,2019-09-17,3老,2019-09-24, , , , , , , , , , , ,2019-11-05,5老,2019-11-19,9老, , , , , , ,2019-12-08,7老,2020-02-24,-2老, , , , , , 
芒盔,2020, , ,2020-09-16,2老,2020-10-04, ,2020-11-07,7老,2020-11-15,6老, , , , , , ,2020-10-30,-1老,2020-11-12,2老, , , , , , ,2020-12-06,5老,2021-03-03,5老, , , , , , 
芒盔,2021, , ,2021-09-19,5老,2021-10-02, ,2021-11-08,8老,2021-11-15,6老, , , , , , ,2021-11-02,2老,2021-11-16,6老, , , , , , ,2021-12-15,14老,2022-03-08,10老, , , , , , 
芒盔,2022, , ,2022-09-13,-1老,2022-09-29, ,2022-11-05,5老,2022-11-08,-1老, , , , , , ,2022-10-24,-7老,2022-11-05,-5老, , , , , , ,2022-12-08,7老,2023-02-28,2老, , , , , , 
芒盔,2023, , ,2023-09-11,-3老,2023-09-18, ,2023-11-10,10老,2023-11-20,11老, , , , , , ,2023-11-06,6老,2023-11-17,7老, , , , , , ,2023-12-01,0老,2024-03-11,14老, , , , , , 
烹康,2004,2004-04-20,-23老,2004-09-15,2老, , ,2004-11-03,3老,2004-11-15,0老, , , , , , ,2004-10-18,-14老,2004-11-10,-6老, , , , , , ,2004-11-13,-2老,2005-03-25,5老, , , , , , 
烹康,2005,2005-05-09,-4老,2005-09-14,1老,2005-09-23, ,2005-11-02,2老,2005-11-11,-4老, , ,2005-11-15, , , ,2005-11-08,7老,2005-11-20,4老, , , , , , ,2005-11-23,8老,2006-03-17,-3老, , , , , , 
烹康,2006, , ,2006-09-12,-1老, , ,2006-11-16,16老,2006-11-23,8老, , , , , , ,2006-11-16,15老,2006-11-21,5老, , , , , , ,2006-12-02,17老,2007-03-12,-8老, , , , , , 
烹康,2007, , ,2007-09-13,0老, , ,2007-11-03,3老,2007-11-12,-3老, , , , , , ,2007-11-04,3老,2007-11-15,-1老, , , , , , ,2007-11-17,2老,2008-03-08,-12老, , , , , , 
烹康,2008, , ,2008-09-12,-1老, , ,2008-11-02,2老,2008-11-21,6老, , , , , , ,2008-11-02,1老,2008-11-21,5老, , , , , , ,2008-11-20,5老,2009-03-15,-5老, , , , , , 
烹康,2009, , ,2009-09-14,1老, , ,2009-10-30,-1老,2009-11-09,-6老, , , , , , ,2009-11-02,1老,2009-11-13,-3老, , , , , , ,2009-11-20,5老,2010-03-26,6老, , , , , , 
烹康,2010, , ,2010-09-18,5老, , ,2010-10-31,0老,2010-11-10,-5老, , , , , , ,2010-11-01,0老,2010-11-12,-4老, , , , , , ,2010-11-03,-12老,2011-03-30,10老, , , , , , 
烹康,2011, , ,2011-09-14,1老, , ,2011-10-31,0老,2011-11-10,-5老, , , , , , ,2011-11-01,0老,2011-11-12,-4老, , , , , , ,2011-10-26,-20老,2012-03-28,8老, , , , , , 
烹康,2012, , ,2012-09-24,11老, , ,2012-10-31,0老,2012-11-10,-5老, , , , , , ,2012-11-01,0老,2012-11-11,-5老, , , , , , ,2012-11-27,12老,2013-03-12,-8老, , , , , , 
烹康,2013, , ,2013-09-15,2老, , ,2013-10-30,-1老,2013-11-11,-4老, , , , , , ,2013-10-31,-1老,2013-11-11,-5老, , , , , , ,2013-11-12,-3老, , , , , , , , 
烹康,2014, , ,2014-09-13,0老, , , , , , , , , , , , , , , , , , , , , , ,2014-11-14,-1老, , , , , , , , 
钦玫,2004,2004-03-24,-15老,2004-09-13,1老, , ,2004-11-01,8老,2004-11-07,4老, , , , , , ,2004-10-26,8老,2004-11-06,6老, , , , , , ,2004-10-27,-2老,2005-03-21,-12老,2004-10-12,-2老, , ,2004-11-01,4老
钦玫,2005,2005-04-04,-4老,2005-09-24,12老, , ,2005-11-04,11老,2005-11-11,8老, , , , , , ,2005-10-24,6老,2005-11-05,5老, , , , , , ,2005-10-23,-6老,2006-03-04,-29老,2005-10-16,2老, , ,2005-11-03,6老
钦玫,2006, , ,2006-09-10,-2老, , ,2006-11-05,12老,2006-11-13,10老, , , , , , ,2006-10-27,9老,2006-11-09,9老, , , , , , ,2006-11-12,14老, , ,2006-10-10,-4老, , ,2006-10-28,0老
钦玫,2007, , ,2007-09-11,-1老, , ,2007-10-25,1老,2007-11-07,4老, , , , , , ,2007-10-24,6老,2007-11-06,6老, , , , , , ,2007-11-12,14老,2008-04-25,23老,2007-10-16,2老, , ,2007-10-30,2老
钦玫,2008, , ,2008-09-12,0老, , ,2008-10-20,-4老,2008-11-05,2老, , , , , , ,2008-10-20,2老,2008-11-06,6老, , , , , , , , , , ,2008-10-14,0老, , ,2008-10-29,1老
钦玫,2009, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2009-10-14,0老, , ,2009-10-29,1老
钦玫,2010, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2010-10-15,1老, , ,2010-11-04,7老
钦玫,2011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2011-10-11,-3老, , ,2011-10-26,-2老
钦玫,2012, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2012-10-08,-6老, , ,2012-10-23,-5老
钦玫,2013, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2013-10-14,0老, , ,2013-10-28,0老
钦玫,2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2014-10-14,0老, , ,2014-10-28,0老
钦玫,2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-10-12,-2老, , ,2015-10-26,-2老
钦玫,2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-10-17,3老, , ,2016-11-03,6老
钦玫,2017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-10-12,-2老, , ,2017-10-27,-1老
钦玫,2018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-16,2老, , ,2018-10-30,2老
钦玫,2019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2019-10-21,7老, , ,2019-10-29,1老
钦玫,2020, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2020-10-20,6老, , ,2020-10-27,-1老
钦玫,2021, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-10-26,12老, , ,2021-11-01,4老
钦玫,2022, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2022-10-18,4老, , ,2022-10-28,0老
钦玫,2023, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2023-10-18,4老, , ,2023-10-26,-2老
备固,2004,2004-03-28,-12老,2004-09-08,-3老, , ,2004-10-21,-2老,2004-10-27,-3老, , , , , , ,2004-10-19,-4老,2004-10-25,-5老, , , , , , ,2004-10-15,-12老,2005-04-04,-2老,2004-10-21,2老, , ,2004-10-28,0老
备固,2005,2005-04-01,-8老,2005-09-12,1老, , ,2005-10-24,1老,2005-10-30,0老, , , , , , ,2005-10-24,1老,2005-10-30,0老, , , , , , ,2005-10-23,-4老,2006-04-17,11老,2005-10-20,1老, , ,2005-10-29,1老
备固,2006, , ,2006-09-11,0老, , ,2006-10-27,4老,2006-11-04,5老, , , , , , ,2006-10-25,2老,2006-11-03,4老, , , , , , ,2006-11-07,11老,2007-04-05,-1老,2006-10-21,2老, , ,2006-10-31,3老
备固,2007, , ,2007-09-17,6老, , ,2007-10-29,6老,2007-11-02,3老, , , , , , ,2007-10-29,6老,2007-11-04,5老, , , , , , ,2007-11-03,7老,2008-03-21,-16老,2007-10-25,6老, , ,2007-11-02,5老
备固,2008, , ,2008-09-16,5老, , ,2008-10-29,6老,2008-11-06,7老, , , , , , ,2008-10-30,7老,2008-11-08,9老, , , , , , ,2008-11-05,9老,2009-03-26,-11老,2008-10-27,8老, , ,2008-11-04,7老
备固,2009, , ,2009-09-10,-1老, , ,2009-10-26,3老,2009-11-03,4老, , , , , , ,2009-10-28,5老,2009-11-03,4老, , , , , , ,2009-11-04,8老,2010-03-30,-7老,2009-10-19,0老, , ,2009-10-28,0老
备固,2010, , ,2010-09-15,4老, , ,2010-10-28,5老,2010-11-07,8老, , , , , , ,2010-10-30,7老,2010-11-08,9老, , , , , , ,2010-10-26,-1老,2011-04-04,-2老,2010-10-22,3老, , ,2010-10-31,3老
备固,2011, , ,2011-09-05,-6老, , ,2011-10-25,2老,2011-11-02,3老, , , , , , ,2011-10-26,3老,2011-11-04,5老, , , , , , ,2011-10-26,-1老,2012-03-27,-10老,2011-10-21,2老, , ,2011-10-30,2老
备固,2012, , ,2012-09-21,10老, , ,2012-10-24,1老,2012-11-01,2老, , , , , , ,2012-10-26,3老,2012-11-02,3老, , , , , , ,2012-11-02,6老,2013-04-22,16老,2012-10-15,-4老, , ,2012-10-24,-4老
备固,2013, , ,2013-09-17,6老, , ,2013-10-26,3老,2013-11-04,5老, , , , , , ,2013-10-23,0老,2013-10-31,1老, , , , , , ,2013-10-28,1老,2014-03-24,-13老,2013-10-25,6老, , ,2013-11-01,4老
备固,2014, , ,2014-09-15,4老, , ,2014-10-22,-1老,2014-10-29,-1老, , , , , , ,2014-10-21,-2老,2014-10-29,-1老, , , , , , ,2014-10-18,-9老,2015-03-28,-9老,2014-10-15,-4老, , ,2014-10-23,-5老
备固,2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-10-13,-6老, , ,2015-10-28,0老
备固,2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-10-17,-2老, , ,2016-11-02,5老
备固,2017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-10-16,-3老, , ,2017-10-27,-1老
备固,2018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-15,-4老, , ,2018-10-25,-3老
备固,2019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2019-10-21,2老, , ,2019-11-01,4老
备固,2020, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2020-10-15,-4老, , ,2020-10-27,-1老
备固,2021, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-10-22,3老, , ,2021-11-04,7老
备固,2022, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2022-10-19,0老, , ,2022-10-31,3老
备固,2023, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2023-10-19,0老, , ,2023-10-31,3老
巩版,2004,2004-04-10,-14老,2004-09-09,6老, , ,2004-10-25,3老,2004-10-31,0老, , , , , , ,2004-10-27,3老,2004-11-02,1老, , , , , , ,2004-10-27,2老,2005-04-04,-7老, , , , , , 
巩版,2005,2005-04-14,-10老,2005-09-02,-1老, , ,2005-10-23,1老,2005-10-31,0老, , , , , , ,2005-10-25,1老,2005-11-02,1老, , , , , , ,2005-10-23,-2老,2006-03-31,-11老, , , , , , 
巩版,2006,2006-04-18,-6老,2006-09-01,-2老, , ,2006-10-26,4老,2006-11-02,2老, , , , , , ,2006-10-25,1老,2006-11-03,2老, , , , , , ,2006-10-31,6老, , , , , , , , 
巩版,2007, , , , , , , , , , , , , , , , , , , , , , , , , , ,2007-11-03,9老,2008-04-28,17老, , , , , , 
巩版,2008,2008-04-25,1老,2008-09-01,-2老, , , , , , , , , , , , , , , , , , , , , , ,2008-10-25,0老, , , , , , , , 
豪拳,2004,2004-04-19,-10老,2004-09-03,0老, , ,2004-10-11,-4老,2004-10-18,-3老, , , , , , ,2004-10-13,-1老,2004-10-19,-1老, , , , , , ,2004-10-03,-11老,2005-05-10,9老,2004-10-09,-2老, , ,2004-10-20,-1老
豪拳,2005,2005-04-25,-4老,2005-09-07,4老, , ,2005-10-13,-2老,2005-10-22,1老, , , , , , ,2005-10-16,2老,2005-10-23,3老, , , , , , ,2005-10-17,3老,2006-05-03,2老,2005-10-12,1老, , ,2005-10-23,2老
豪拳,2006,2006-04-22,-7老,2006-09-04,1老, , ,2006-10-09,-6老,2006-10-17,-4老, , , , , , ,2006-10-13,-1老,2006-10-18,-2老, , , , , , ,2006-10-13,-1老,2007-04-28,-3老,2006-10-08,-3老, , ,2006-10-18,-3老
豪拳,2007, , ,2007-09-01,-2老, , ,2007-10-23,8老,2007-10-30,9老, , , , , , ,2007-10-25,11老,2007-11-02,13老, , , , , , ,2007-10-20,6老,2008-05-15,14老,2007-10-24,13老, , ,2007-10-31,10老
豪拳,2008, , ,2008-09-10,7老, , ,2008-10-18,3老, , , , , , , , ,2008-10-20,6老, , , , , , , , ,2008-10-12,-2老, , ,2008-10-17,6老, , ,2008-10-30,9老
惑林,2004,2004-04-08, ,2004-08-29,0老, , ,2004-10-15,-5老,2004-10-26,-5老, , , , , , ,2004-10-17,-4老,2004-10-27,-5老, , , , , , ,2004-10-28,-3老,2005-03-21,-12老, , , , , , 
惑林,2005,2005-05-25, ,2005-09-01,3老, , ,2005-10-18,-2老,2005-10-29,-2老, , , , , , ,2005-10-18,-3老,2005-10-30,-2老, , , , , , ,2005-11-01,1老,2006-03-31,-2老, , , , , , 
惑林,2006,2006-05-26, ,2006-09-02,4老, , ,2006-10-24,4老,2006-10-30,-1老, , , , , , ,2006-10-24,3老,2006-10-31,-1老, , , , , , ,2006-11-07,7老,2007-04-05,3老, , , , , , 
惑林,2007,2007-06-02, ,2007-09-07,9老, , ,2007-10-31,11老,2007-11-06,6老, , , , , , ,2007-10-31,10老,2007-11-06,5老, , , , , , ,2007-11-03,3老,2008-03-27,-6老, , , , , , 
惑林,2008, , ,2008-06-30,-60老, , ,2008-10-20,0老,2008-11-05,5老, , , , , , ,2008-10-27,6老,2008-11-07,6老, , , , , , ,2008-11-05,5老,2009-03-15,-18老, , , , , , 
惑林,2009, , ,2009-08-20,-9老, , ,2009-10-19,-1老,2009-10-28,-3老, , , , , , ,2009-10-23,2老,2009-10-30,-2老, , , , , , ,2009-11-20,20老,2010-04-16,14老, , , , , , 
惑林,2010, , ,2010-09-08,10老, , ,2010-10-26,6老,2010-11-03,3老, , , , , , ,2010-10-28,7老,2010-11-03,2老, , , , , , ,2010-10-26,-5老,2011-04-20,18老, , , , , , 
惑林,2011, , ,2011-09-02,4老, , ,2011-10-19,-1老,2011-10-28,-3老, , , , , , ,2011-10-19,-2老,2011-10-28,-4老, , , , , , ,2011-10-19,-12老,2012-04-02,0老, , , , , , 
惑林,2012, , ,2012-09-07,9老, , ,2012-10-17,-3老,2012-10-30,-1老, , , , , , ,2012-10-17,-4老,2012-10-30,-2老, , , , , , ,2012-11-02,2老,2013-04-15,13老, , , , , , 
惑林,2013, , ,2013-09-10,12老, , ,2013-10-18,-2老,2013-11-04,4老, , , , , , ,2013-10-18,-3老,2013-11-04,3老, , , , , , ,2013-10-28,-3老,2014-03-09,-24老, , , , , , 
惑林,2014, , ,2014-09-11,13老, , ,2014-10-18,-2老,2014-11-04,4老, , , , , , ,2014-10-18,-3老,2014-11-04,3老, , , , , , ,2014-10-28,-3老,2015-03-25,-8老, , , , , , 
救悼,2004,2004-04-12,-6老,2004-09-08,4老, , ,2004-10-12,-6老,2004-10-22,-6老, , , , , , ,2004-10-15,-4老,2004-10-25,-4老, , , , , , ,2004-10-13,-11老,2005-04-23,15老,2004-10-10,-6老, , ,2004-10-20,-7老
救悼,2005,2005-04-17,-1老,2005-09-12,8老, , ,2005-10-21,3老,2005-10-29,1老, , , , , , ,2005-10-20,1老,2005-10-28,-1老, , , , , , ,2005-10-23,-1老,2006-04-16,8老,2005-10-20,4老, , ,2005-10-30,3老
救悼,2006,2006-05-20,32老,2006-09-07,3老, , ,2006-10-16,-2老,2006-10-28,0老, , , , , , ,2006-10-19,0老,2006-11-02,4老, , , , , , ,2006-11-06,13老,2007-04-09,1老,2006-10-15,-1老, , ,2006-10-25,-2老
救悼,2007,2007-06-05,48老,2007-09-14,10老, , ,2007-10-25,7老,2007-10-30,2老, , , , , , ,2007-10-24,5老,2007-11-01,3老, , , , , , ,2007-10-21,-3老,2008-04-28,20老,2007-10-11,-5老, , ,2007-10-22,-5老
救悼,2008, , ,2008-09-08,4老, , ,2008-10-19,1老,2008-11-05,8老, , , , , , ,2008-10-25,6老,2008-11-05,7老, , , , , , ,2008-10-28,4老,2009-04-02,-6老,2008-10-16,0老, , ,2008-10-29,2老
救悼,2009, , ,2009-09-01,-3老, , ,2009-10-18,0老,2009-10-29,1老, , , , , , ,2009-10-24,5老,2009-11-01,3老, , , , , , ,2009-11-03,10老,2010-04-25,17老,2009-10-14,-2老, , ,2009-10-26,-1老
救悼,2010, , ,2010-09-09,5老, , ,2010-10-23,5老,2010-11-01,4老, , , , , , ,2010-10-23,4老,2010-11-01,3老, , , , , , ,2010-10-26,2老,2011-04-20,12老,2010-10-23,7老, , ,2010-10-31,4老
救悼,2011, , ,2011-09-14,10老, , ,2011-10-18,0老,2011-10-28,0老, , , , , , ,2011-10-18,-1老,2011-10-28,-1老, , , , , , ,2011-10-18,-6老,2012-04-04,-4老,2011-10-18,2老, , ,2011-10-26,-1老
救悼,2012, , ,2012-09-06,2老, , ,2012-10-15,-3老,2012-10-28,0老, , , , , , ,2012-10-15,-4老,2012-10-28,-1老, , , , , , ,2012-10-18,-6老,2013-04-22,14老,2012-10-17,1老, , ,2012-10-27,0老
救悼,2013, , ,2013-09-22,18老, , ,2013-10-17,-1老,2013-11-01,4老, , , , , , ,2013-10-17,-2老,2013-11-01,3老, , , , , , ,2013-10-26,2老,2014-03-24,-15老,2013-10-22,6老, , ,2013-10-31,4老
救悼,2014, , , , , , ,2014-10-16,-2老,2014-10-27,-1老, , , , , , ,2014-10-16,-3老,2014-10-27,-2老, , , , , , ,2014-11-04,11老,2015-03-28,-11老,2014-10-14,-2老, , ,2014-10-28,1老
救悼,2015,搬螟,—,搬螟,—,搬螟,—,2015-10-21,3老,2015-10-29,1老, , , , , , ,2015-10-21,2老,2015-10-29,0老, , , , , , ,2015-10-28,4老,2016-03-28,-11老,2015-10-12,-4老, , ,2015-10-23,-4老
救悼,2016,搬螟,—,搬螟,—,搬螟,—,2016-10-24,6老,2016-10-31,3老, , , , , , ,2016-10-24,5老,2016-10-30,1老, , , , , , ,2016-11-02,9老,2017-03-28,-11老,2016-10-17,1老, , ,2016-10-27,0老
救悼,2017, , ,2017-09-20,16老,2017-09-30, ,2017-10-24,6老,2017-10-30,2老, , , , , , ,2017-10-24,5老,2017-10-30,1老, , , , , , ,2017-10-31,7老,2018-03-23,-16老,2017-10-18,2老, , ,2017-10-27,0老
救悼,2018,搬螟,—,2018-09-22,18老,2018-09-26, ,2018-10-23,5老,2018-10-29,1老, , , , , , ,2018-10-23,4老,2018-10-29,0老, , , , , , ,2018-10-12,-12老,2019-04-03,-5老,2018-10-15,-1老, , ,2018-10-24,-3老
救悼,2019, , ,2019-09-17,13老,2019-09-26, ,2019-10-17,-1老,2019-10-24,-4老, , , , , , ,2019-10-17,-2老,2019-10-24,-5老, , , , , , ,2019-10-28,4老,2020-04-09,1老,2019-10-21,5老, , ,2019-11-01,5老
救悼,2020, , ,2020-09-14,10老,2020-09-24, ,2020-10-14,-4老,2020-10-28,0老, , , , , , ,2020-10-14,-5老,2020-10-28,-1老, , , , , , ,2020-10-24,0老,2021-04-15,7老,2020-10-19,3老, , ,2020-10-29,2老
救悼,2021, , ,2021-09-15,11老,2021-09-25, ,2021-10-27,9老,2021-11-02,5老, , , , , , ,2021-10-27,8老,2021-11-02,4老, , , , , , ,2021-10-17,-7老,2022-04-03,-5老,2021-10-25,9老, , ,2021-11-01,5老
救悼,2022, , ,2022-09-20,16老,2022-09-29, ,2022-10-21,3老,2022-10-27,-1老, , , , , , ,2022-10-21,2老,2022-10-27,-2老, , , , , , ,2022-10-18,-6老,2023-04-03,-5老,2022-10-19,3老, , ,2022-10-28,1老
救悼,2023, , ,2023-09-04,0老,2023-09-09, ,2023-10-15,-3老,2023-10-23,-5老, , , , , , ,2023-10-15,-4老,2023-10-23,-6老, , , , , , ,2023-10-21,-3老,2024-03-22,-17老,2023-10-18,2老, , ,2023-10-31,4老
康傣,2004,2004-04-29,14老,2004-09-14,0老, , ,2004-10-26,0老,2004-11-01,-3老, , , , , , ,2004-10-28,4老,2004-11-04,0老, , , , , , ,2004-11-29,13老,2005-04-04,5老, , , , , , 
康傣,2005,2005-04-11,-4老,2005-09-13,-1老, , ,2005-10-28,2老,2005-11-03,-1老, , , , , , ,2005-10-30,6老,2005-11-05,1老, , , , , , ,2005-11-15,-1老,2006-03-24,-6老, , , , , , 
康傣,2006, , ,2006-09-08,-6老, , ,2006-10-23,-3老,2006-11-02,-2老, , , , , , ,2006-10-28,4老,2006-11-05,1老, , , , , , ,2006-12-01,15老,2007-04-05,6老, , , , , , 
康傣,2007, , ,2007-09-13,-1老, , ,2007-10-24,-2老,2007-11-05,1老, , , , , , ,2007-10-22,-2老,2007-11-02,-2老, , , , , , ,2007-11-02,-14老,2008-03-28,-2老, , , , , , 
康傣,2008, , ,2008-09-10,-4老, , ,2008-10-23,-3老, , , , , , , , ,2008-10-23,-1老, , , , , , , , , , , , , , , , , , 
康林,2004,2004-04-14,-4老,2004-09-08,3老, , ,2004-10-20,-3老,2004-10-30,1老, , , , , , ,2004-10-21,-2老,2004-10-31,0老, , , , , , ,2004-10-15,-7老,2005-04-23,7老,2004-10-02,-7老, , ,2004-10-13,-7老
康林,2005, , ,2005-09-03,-2老, , ,2005-10-21,-2老,2005-11-01,3老, , , , , , ,2005-10-20,-3老,2005-11-04,4老, , , , , , ,2005-10-23,1老,2006-04-15,-1老,2005-10-08,-1老, , ,2005-10-15,-5老
康林,2006, , ,2006-09-08,3老, , ,2006-10-28,5老,2006-11-06,8老, , , , , , ,2006-10-25,2老,2006-11-12,12老, , , , , , ,2006-11-08,17老,2007-04-09,-7老,2006-10-05,-4老, , ,2006-10-14,-6老
康林,2007, , ,2007-09-05,0老, , ,2007-11-01,9老,2007-11-09,11老, , , , , , ,2007-10-30,7老,2007-11-11,11老, , , , , , ,2007-10-21,-1老,2008-05-11,25老,2007-10-11,2老, , ,2007-10-25,5老
康林,2008, , ,2008-09-05,0老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-10-15,6老, , ,2008-10-27,7老
康林,2011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2011-10-12,3老, , ,2011-10-21,1老
康林,2012, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2012-10-13,4老, , ,2012-10-24,4老
康林,2013, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2013-10-18,9老, , ,2013-10-29,9老
康林,2014, , , , , , , , , , , , , , , , ,2014-10-14,-9老,2014-10-24,-7老, , , , , , , , , , ,2014-10-14,5老, , ,2014-10-24,4老
康林,2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-10-07,-2老, , ,2015-10-19,-1老
康林,2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-10-10,1老, , ,2016-10-21,1老
康林,2017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-10-11,2老, , ,2017-10-24,4老
康林,2018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-11,2老, , ,2018-10-23,3老
康林,2019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2019-10-11,2老, , ,2019-10-24,4老
康林,2020, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2020-10-13,4老, , ,2020-10-23,3老
康林,2021, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-10-14,5老, , ,2021-10-30,10老
康林,2022, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2022-10-11,2老, , ,2022-10-25,5老
康林,2023, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2023-10-12,3老, , ,2023-10-27,7老
康玫,2004, , ,2004-09-12,8老, , ,2004-10-25,5老,2004-10-31,1老, , , , , , ,2004-10-28,8老,2004-11-02,3老, , , , , , ,2004-10-15,-9老,2005-04-16,-1老, , , , , , 
康玫,2005, , ,2005-09-14,10老, , ,2005-10-20,0老,2005-10-26,-4老, , , , , , ,2005-10-24,4老,2005-10-29,-1老, , , , , , ,2005-10-17,-7老,2006-04-17,0老, , , , , , 
康玫,2006, , ,2006-09-12,8老, , ,2006-10-30,10老,2006-11-06,7老, , , , , , ,2006-11-02,13老,2006-11-07,8老, , , , , , ,2006-11-07,14老,2007-04-05,-12老, , , , , , 
康玫,2007, , ,2007-09-21,17老, , ,2007-10-29,9老,2007-11-06,7老, , , , , , ,2007-11-01,12老,2007-11-12,13老, , , , , , ,2007-11-03,10老,2008-04-25,8老, , , , , , 
康玫,2008, , ,2008-09-18,14老, , , , , , , , , , , , , , , , , , , , , , ,2008-10-13,-11老, , , , , , , , 
