瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,概固,概固,概固,概固,概固,概固,概固,概固,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,倔澜,倔澜,倔澜,倔澜,传,传,传,传,包汲,包汲,包汲,包汲,碍窍玫,碍窍玫,碍窍玫,碍窍玫,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤
堡林,2024,2024-04-09,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2024-04-08,8老, , , , , , ,2024-06-27,17老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2024-05-18,4老, , , , , , ,2024-06-17,-23老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , ,2024-01-29,-22老,2024-02-18,-19老,2024-02-20,-25老,2024-03-09,1老,2024-03-17,-4老,2024-03-23,-3老,2024-03-09,-2老,2024-03-23,-4老,2024-03-25,-7老,2024-03-17,4老,2024-03-27,-4老,2024-04-01,-3老,2024-04-09,3老,2024-04-23,-10老,2024-04-27,-10老,2024-03-23,5老,2024-04-02,1老,2024-04-04,-2老,2024-03-25,4老,2024-04-11,3老,2024-04-16,6老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
措备,2005,2005-04-10,-5老,2005-10-09,0老, , , , , , , , , , , , , , , , , , , , ,2005-03-28,7老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2005-05-10,1老, , , , , , ,2005-06-27,-9老,2005-09-17,-3老,包螟 救凳,—, , , , , , , , ,2005-09-09,1老, , ,2005-02-17,-7老,2005-02-23,-19老, , ,2005-03-10,4老,2005-03-21,3老, , ,2005-03-14,5老,2005-03-25,2老, , ,2005-03-28,12老,2005-04-04,6老, , ,2005-04-14,8老,2005-05-01,-2老, , ,2005-04-01,13老,2005-04-08,7老, , ,2005-03-29,8老,2005-04-08,3老, , ,2005-10-22,-3老,2005-10-31,-3老, , , , , , ,2005-10-23,-3老,2005-10-30,-6老, , , , , , ,2005-10-23,-12老,2006-02-21,-26老,2005-11-16,6老,2006-03-31,6老,2005-12-04,-1老,2006-03-14,5老,2005-12-04,4老,2006-03-14,0老,2005-12-13,-20老,2006-02-06,-3老,2005-10-13,-4老, , ,2005-10-23,-5老, , , , , , , , , , 
措备,2006,2006-04-09,-6老,2006-10-12,3老, , , , , , , , , , , , , , , , , , , , ,2006-03-15,-6老, , , , , , ,2006-06-06,-8老, , , , , , , , , , , , , , , , , , ,2006-05-18,9老, , , , , , ,2006-07-14,8老,2006-09-14,-6老,2006-12-10, , , , , , , , , ,2006-09-10,2老, , ,2006-02-25,1老,2006-03-07,-7老, , ,2006-02-27,-7老,2006-03-10,-8老, , ,2006-03-05,-4老,2006-03-22,-1老, , ,2006-03-23,7老,2006-03-28,-1老, , ,2006-03-29,-8老,2006-05-04,1老, , ,2006-03-24,5老,2006-04-03,2老, , ,2006-03-23,2老,2006-04-03,-2老, , ,2006-10-24,-1老,2006-11-10,7老, , , , , , ,2006-10-26,0老,2006-11-12,7老, , , , , , ,2006-11-07,3老,2007-03-18,-1老,2006-11-07,-3老,2007-03-18,-7老,2006-11-07,-28老,2007-03-08,-1老,2006-12-17,17老,2007-01-27,-46老, , , , ,2006-10-17,0老, , ,2006-10-28,0老, , , , , , , , , , 
措备,2007,2007-04-15,0老,2007-09-25,-14老, , , , , , , , , , , , , , , , , , , , ,2007-02-27,-22老, , , , , , ,2007-06-04,-10老, , , , , , , , , , , , , , , , , , ,2007-05-16,7老, , , , , , ,2007-07-19,13老,2007-09-13,-7老, , , , , , , , , , ,2007-09-08,0老, , ,2007-02-24,0老,2007-03-03,-11老, , ,2007-02-27,-7老,2007-03-08,-10老, , ,2007-02-26,-11老,2007-03-17,-6老, , ,2007-03-20,4老,2007-03-24,-5老, , ,2007-03-27,-10老,2007-05-01,-2老, , ,2007-03-20,1老,2007-03-26,-6老, , ,2007-03-25,4老,2007-04-02,-3老, , ,2007-10-27,2老,2007-11-02,-1老, , , , , , ,2007-10-29,3老,2007-11-04,-1老, , , , , , ,2007-11-25,21老,2008-03-21,2老,2007-11-18,8老,2008-03-21,-4老,2007-11-21,-14老,2008-03-04,-5老,2007-12-03,3老,2008-03-30,16老, , , , ,2007-10-16,-1老, , ,2007-10-24,-4老, , , , , , , , , , 
措备,2008,2008-04-20,5老,2008-09-30,-9老, , , , , , , , , , , , , , , , , , , , ,2008-03-12,-9老, , , , , , ,2008-06-09,-5老, , , , , , , , , , , , , , , , , , ,2008-05-18,9老, , , , ,2008-09-15, ,2008-07-10,4老,2008-09-14,-6老,包螟 救凳,—, , , , , , , , ,2008-09-09,1老, , ,2008-02-23,-1老,2008-03-15,1老, , ,2008-03-06,0老,2008-03-19,1老, , ,2008-03-10,1老,2008-03-22,-1老, , ,2008-03-15,-1老,2008-03-27,-2老, , ,2008-04-04,-2老,2008-05-02,-1老, , ,2008-03-12,-7老,2008-04-01,0老, , ,2008-03-16,-5老,2008-04-04,-1老, , ,2008-10-15,-10老,2008-11-06,3老, , , , , , ,2008-10-31,5老,2008-11-07,2老, , , , , , ,2008-11-27,23老,2009-02-28,-19老,2008-11-18,8老,2009-03-25,0老,2008-12-05,0老,2009-03-25,16老,2008-11-21,-9老,2009-01-14,-59老, , , , ,2008-10-17,0老, , ,2008-10-25,-3老, , , , , , , , , , 
措备,2009,2009-04-28,13老,2009-09-28,-11老, , , , , , , , , , , , , , , , , , , , ,2009-03-12,-9老, , , , , , ,2009-06-23,9老, , , , , , , , , , , , , , , , , , ,2009-05-29,20老, , , , , , ,2009-07-03,-3老,2009-09-24,4老,包螟 救凳,—, , , , , , , , ,2009-09-02,-6老, , ,2009-02-24,0老,2009-03-07,-7老, , ,2009-03-03,-3老,2009-03-16,-2老, , ,2009-03-07,-2老,2009-03-19,-4老, , ,2009-03-12,-4老,2009-03-22,-7老, , ,2009-03-26,-11老,2009-04-30,-3老, , ,2009-03-10,-9老,2009-03-24,-8老, , ,2009-03-18,-3老,2009-04-02,-3老, , ,2009-10-23,-2老,2009-10-30,-4老, , , , , , ,2009-10-24,-2老,2009-10-31,-5老, , , , , , ,2009-11-23,19老,2010-04-17,29老,2009-11-03,-7老,2010-03-27,2老,2009-12-20,15老,2010-04-14,36老,2009-12-20,20老,2010-04-14,31老,2009-12-28,-5老,2010-02-07,-2老,2009-10-17,0老, , ,2009-10-27,-1老, , , , , , , , , , 
措备,2010,2010-04-19,4老,2010-10-05,-4老, , , , , , , , , , , , , , , , , , , , ,2010-04-04,14老, , , , , , ,2010-05-30,-15老, , , , , , , , , , , , , , , , , , ,2010-04-27,-12老, , , , , , ,2010-07-10,4老,2010-09-28,8老,包螟 救凳,—, , , , , , , , ,2010-09-09,1老, , ,2010-02-23,-1老,2010-03-13,-1老, , ,2010-02-28,-6老,2010-03-19,1老, , ,2010-03-02,-7老,2010-04-02,10老, , ,2010-03-22,6老,2010-04-05,7老, , ,2010-04-09,3老,2010-05-17,14老, , ,2010-04-03,15老,2010-04-08,7老, , ,2010-04-04,14老,2010-04-15,10老, , ,2010-10-25,0老,2010-11-05,2老, , , , , , ,2010-11-01,6老,2010-11-09,4老, , , , , , ,2010-10-27,-8老,2011-02-23,-24老,2010-10-27,-14老,2011-03-29,4老,2010-12-08,3老,2011-02-14,-23老,2010-12-08,8老,2011-02-16,-26老,2010-12-25,-8老,2011-02-09,0老,2010-10-21,4老, , ,2010-10-30,2老, , , , , , , , , , 
措备,2011,2011-04-07,-8老,2011-10-03,-6老, , , , , , , , , , , , , , , , , , , , ,2011-03-19,-2老, , , , , , ,2011-05-29,-16老, , , , , , , , , , , , , , ,2011-04-23, , , ,包螟 救凳,—, , , , , , ,2011-07-05,-1老,2011-09-22,2老,包螟 救凳,—, , , , , , , , ,2011-09-06,-2老, , ,2011-02-22,-2老,2011-03-13,-1老, , ,2011-03-06,0老,2011-03-15,-3老, , ,2011-03-10,1老,2011-03-23,0老, , ,2011-03-13,-3老,2011-04-02,4老, , ,2011-04-21,15老,2011-05-11,8老, , ,2011-03-13,-6老,2011-04-06,5老, , ,2011-03-22,1老,2011-04-09,4老, , ,2011-10-25,0老,2011-11-03,0老, , , , , , ,2011-10-30,4老,2011-11-12,7老, , , , , , ,2011-10-26,-9老,2012-02-28,-20老,2011-11-21,11老,2012-03-26,1老,2012-01-01,26老,2012-03-11,2老,2011-12-01,1老,2012-03-26,12老,2012-01-26,24老,2012-02-13,4老,2011-10-20,3老, , ,2011-10-31,3老, , , , , , , , , , 
措备,2012,2012-04-04,-11老,2012-10-08,-1老, , , , , , , , , , , , , , , , , , , , ,2012-03-27,6老, , , , , , ,2012-04-23,-52老, , , , , , , , , , , , , , ,2012-04-20, , , ,包螟 救凳,—, , ,2012-07-04, , , ,2012-07-04,-2老,2012-09-26,6老, , , , , , , , , , ,2012-09-10,2老, , ,2012-02-24,0老,2012-03-08,-6老, , ,2012-03-06,0老,2012-03-19,1老, , ,2012-03-09,0老,2012-03-22,-1老, , ,2012-03-19,3老,2012-04-04,6老, , ,2012-03-28,-9老,2012-05-04,1老, , ,2012-03-27,8老,2012-04-08,7老, , ,2012-03-27,6老,2012-04-09,4老, , ,2012-10-26,1老,2012-11-03,0老, , , , , , ,2012-10-26,0老,2012-11-03,-2老, , , , , , ,2012-11-02,-2老,2013-03-15,-4老,2012-11-02,-8老,2013-03-26,1老,2012-11-26,-9老,2013-04-11,33老,2012-11-14,-16老,2013-04-20,37老,2012-12-26,-6老,2013-02-09,0老,2012-10-16,-1老, , ,2012-10-26,-2老, , , , , , , , , , 
措备,2013,2013-05-09,24老,2013-10-05,-4老, , , , , , , , , , , , , , , , , , , , ,2013-03-11,-10老, , , , , , ,2013-04-20,-55老, , , , , , , , , , , , , , ,2013-04-25, , , ,2013-04-25,-14老, , , , , , ,2013-07-04,-2老,2013-09-25,5老,包螟 救凳,—, , , , , , , , ,2013-09-21,13老, , ,2013-02-21,-3老,2013-03-14,0老, , ,2013-03-06,0老,2013-03-14,-4老, , ,2013-03-06,-3老,2013-03-17,-6老, , ,2013-03-11,-5老,2013-03-23,-6老, , ,2013-04-07,1老,2013-05-09,6老, , ,2013-03-29,10老,2013-04-05,4老, , ,2013-03-30,9老,2013-04-05,0老, , ,2013-11-01,7老,2013-11-08,5老, , , , , , ,2013-11-01,6老,2013-11-08,3老, , , , , , ,2013-11-13,9老,2014-03-22,3老,2013-11-13,3老,2014-03-22,-3老,2013-11-18,-17老,2014-03-14,5老,2013-11-27,-3老,2014-04-06,23老,2014-01-14,12老,2014-02-06,-3老,2013-10-25,8老, , ,2013-11-04,7老, , , , , , , , , , 
措备,2014,2014-04-13,-2老,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , ,2014-03-16,-5老, , , , , , ,2014-06-18,4老, , , , , , , , , , , , , , ,2014-05-15, , , ,2014-05-15,6老, , ,2014-07-14, , , ,2014-07-14,8老, , , , , , , , , , , , , , , , ,2014-02-20,-4老,2014-03-11,-3老, , ,2014-03-03,-3老,2014-03-16,-2老, , ,2014-03-04,-5老,2014-03-17,-6老, , ,2014-03-17,1老,2014-03-27,-2老, , ,2014-04-03,-3老,2014-04-28,-5老, , ,2014-03-20,1老,2014-04-02,1老, , ,2014-03-21,0老,2014-04-06,1老, , ,2014-11-05,11老,2014-11-13,10老, , , , , , ,2014-11-05,10老,2014-11-13,8老, , , , , , ,2014-11-05,1老,2015-03-08,-11老,2014-11-13,3老,2015-03-12,-13老,2014-12-01,-4老,2015-03-03,-6老,2014-12-04,4老,2015-03-06,-8老,2014-12-18,-15老,2015-02-09,0老,2014-10-14,-3老, , ,2014-10-29,1老, , , , , , , , , , 
措备,2015,2015-04-12,-3老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2015-03-19,-2老, , , , , , ,2015-06-30,16老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2015-05-12,3老, , , , , , ,2015-07-15,9老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2015-09-05,-3老,2015-09-20,1老,2015-02-22,-2老,2015-03-17,3老,2015-03-22,-3老,2015-03-02,-4老,2015-03-19,1老,2015-03-24,0老,2015-03-02,-7老,2015-03-21,-2老,2015-03-27,-1老,2015-03-20,4老,2015-03-28,-1老,2015-04-01,-1老,2015-03-30,-7老,2015-05-04,1老,2015-05-12,4老,2015-03-21,2老,2015-03-30,-2老,2015-04-06,2老,2015-03-21,0老,2015-03-30,-6老,2015-04-06,-2老,2015-10-24,-1老,2015-11-05,2老, , , , , , ,2015-10-24,-2老,2015-11-05,0老, , , , , , ,2015-10-31,-4老,2016-03-15,-4老,2015-10-31,-10老,2016-03-15,-10老,2015-11-26,-9老,2016-02-29,-9老,2015-12-16,16老,2016-03-05,-9老,2016-01-20,18老,2016-02-08,-1老,2015-10-13,-4老, , ,2015-10-28,0老, , , , , , , , , , 
措备,2016,2016-04-15,0老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2016-03-30,9老, , , , , , ,2016-06-27,13老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2016-05-14,5老, , , , ,包螟 救凳,—,2016-06-20,-16老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2016-09-08,0老,2016-09-24,5老,2016-02-20,-4老,2016-03-16,2老,2016-03-19,-6老,2016-03-09,3老,2016-03-19,1老,2016-03-24,0老,2016-03-15,6老,2016-03-19,-4老,2016-03-23,-5老,2016-03-22,6老,2016-03-25,-4老,2016-03-31,-2老,2016-04-01,-5老,2016-04-20,-13老,2016-04-28,-10老,2016-03-27,8老,2016-03-30,-2老,2016-04-01,-3老,2016-03-31,10老,2016-04-02,-3老,2016-04-05,-3老,2016-10-20,-5老,2016-10-27,-7老, , , , , , ,2016-10-27,1老,2016-11-01,-4老, , , , , , ,2016-11-03,-1老,2017-02-27,-20老,2016-11-02,-8老,2017-03-11,-14老,2016-11-26,-9老,2017-02-11,-26老,2017-01-20,51老,2017-03-27,13老,2017-01-15,13老,2017-02-22,13老,2016-10-18,1老, , ,2016-11-02,5老, , , , , , , , , , 
措备,2017,2017-04-25,10老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2017-04-02,12老, , , , , , ,2017-07-04,20老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-05-10, , , ,包螟 救凳,—, , , , , , ,2017-07-04,-2老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2017-09-15,7老,2017-09-21,2老,2017-03-02,6老,2017-03-11,-3老,2017-03-18,-7老,2017-03-10,4老,2017-03-17,-1老,2017-03-23,-1老,2017-03-10,1老,2017-03-17,-6老,2017-03-25,-3老,2017-03-16,0老,2017-03-29,0老,2017-04-02,0老,2017-04-03,-3老,2017-04-28,-5老,2017-05-01,-7老,2017-03-21,2老,2017-03-28,-4老,2017-03-31,-4老,2017-03-23,2老,2017-04-03,-2老,2017-04-07,-1老,2017-10-24,-1老,2017-10-30,-4老, , , , , , ,2017-10-25,-1老,2017-11-06,1老, , , , , , ,2017-10-31,-4老,2018-03-23,4老,2017-10-31,-10老,2018-03-23,-2老,2017-11-24,-11老,2018-03-21,12老,2018-01-09,40老,2018-03-24,10老,2017-12-14,-19老,2018-02-15,6老,2017-10-16,-1老, , ,2017-10-27,-1老, , , , , , , , , , 
措备,2018,2018-04-06,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2018-03-31,10老, , , , , , ,2018-06-22,8老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,包螟 救凳,—, , , , , , ,2018-06-27,-9老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2018-09-22,14老,2018-09-26,7老,2018-03-02,6老,2018-03-12,-2老,2018-03-22,-3老,2018-03-11,5老,2018-03-20,2老,2018-03-26,2老,2018-03-12,3老,2018-03-22,-1老,2018-03-27,-1老,2018-03-12,-4老,2018-03-27,-2老,2018-03-29,-4老,2018-03-31,-6老,2018-04-27,-6老,2018-04-30,-8老,2018-03-13,-6老,2018-03-31,-1老,2018-04-03,-1老,2018-03-20,-1老,2018-03-31,-5老,2018-04-03,-5老,2018-10-19,-6老,2018-10-27,-7老, , , , , , ,2018-10-20,-6老,2018-11-05,0老, , , , , , ,2018-11-01,-3老,2019-04-15,27老,2018-11-02,-8老,2019-04-02,8老,2018-11-24,-11老,2019-03-15,6老,2018-12-11,11老,2019-03-24,10老,2018-12-29,-4老,2019-02-12,3老,2018-10-15,-2老, , ,2018-10-25,-3老, , , , , , , , , , 
措备,2019,2019-05-12,27老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2019-03-05,-16老, , , , , , ,2019-07-06,22老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,包螟 救凳,—, , , , , , ,2019-07-05,-1老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2019-09-13,5老,2019-09-25,6老,2019-02-21,-3老,2019-03-07,-7老,2019-03-12,-13老,2019-03-11,5老,2019-03-13,-5老,2019-03-14,-10老,2019-03-11,2老,2019-03-19,-4老,2019-03-21,-7老,2019-03-17,1老,2019-03-21,-8老,2019-03-26,-7老,2019-04-28,22老,2019-04-30,-3老,2019-05-04,-4老,2019-03-19,0老,2019-03-25,-7老,2019-03-29,-6老,2019-03-19,-2老,2019-03-29,-7老,2019-04-02,-6老,2019-10-23,-2老,2019-11-09,6老, , , , , , ,2019-10-24,-2老,2019-11-15,10老, , , , , , ,2019-11-08,4老,2020-04-14,26老,2019-11-09,-1老,2020-04-09,15老,2020-02-05,61老,2020-02-17,-21老,2019-12-26,26老,2020-02-18,-25老,包螟 救凳,—,包螟 救凳,—,2019-10-21,4老, , ,2019-11-01,4老, , , , , , , , , , 
措备,2020,2020-04-28,13老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2020-03-17,-4老, , , , , , ,2020-05-11,-34老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2020-05-21,12老, , , , , , ,2020-07-07,1老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2020-09-07,-1老,2020-09-19,0老,2020-01-28,-27老,2020-03-02,-12老,2020-03-09,-16老,2020-03-05,-1老,2020-03-12,-6老,2020-03-14,-10老,2020-03-06,-3老,2020-03-11,-12老,2020-03-21,-7老,2020-03-09,-7老,2020-03-21,-8老,2020-03-27,-6老,2020-03-25,-12老,2020-04-30,-3老,2020-05-04,-4老,2020-03-17,-2老,2020-03-21,-11老,2020-03-25,-10老,2020-03-17,-4老,2020-03-26,-10老,2020-03-27,-12老,2020-10-16,-9老,2020-10-29,-5老, , , , , , ,2020-10-31,5老,2020-11-14,9老, , , , , , ,2020-11-05,1老,2021-04-10,22老,2020-11-05,-5老,2021-04-05,11老,2020-12-29,24老,2021-03-02,-7老,2020-12-30,30老,2021-03-02,-12老,2020-12-17,-15老,2021-01-30,-10老,2020-10-15,-2老, , ,2020-10-27,-1老, , , , , , , , , , 
措备,2021,2021-04-20,5老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2021-03-05,-16老, , , , , , ,2021-05-27,-18老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2021-05-24,15老, , , , , , ,2021-07-10,4老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2021-09-14,6老,2021-10-08,19老,2021-02-02,-22老,2021-02-22,-20老,2021-02-27,-26老,2021-02-28,-6老,2021-03-13,-5老,2021-03-16,-8老,2021-03-05,-4老,2021-03-15,-8老,2021-03-16,-12老,2021-03-16,0老,2021-03-23,-6老,2021-03-27,-6老,2021-03-31,-6老,2021-04-25,-8老,2021-05-01,-7老,2021-03-16,-3老,2021-03-23,-9老,2021-03-28,-7老,2021-03-16,-5老,2021-03-27,-9老,2021-03-30,-9老,2021-10-27,2老,2021-11-09,6老, , , , , , ,2021-10-27,1老,2021-11-29,24老, , , , , , ,2021-10-18,-17老,2022-04-17,29老,2021-10-18,-23老,2022-03-24,-1老,2021-12-19,14老,2022-02-22,-15老,2021-12-19,19老,2022-03-19,5老,2021-12-27,-6老,2021-12-28,-43老,2021-10-22,5老, , ,2021-11-04,7老, , , , , , , , , , 
措备,2022,2022-04-13,-2老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2022-03-22,1老, , , , , , ,2022-06-28,14老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , ,包螟 救凳,—, , , , , , ,2022-06-26,-10老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2022-09-14,6老,2022-09-24,5老,2022-02-22,-2老,2022-03-07,-7老,2022-03-14,-11老,2022-03-13,7老,2022-03-19,1老,2022-03-26,2老,2022-03-19,10老,2022-03-21,-2老,2022-03-26,-2老,2022-03-21,5老,2022-03-26,-3老,2022-03-30,-3老,2022-04-06,0老,2022-04-26,-7老,2022-04-29,-9老,2022-03-21,2老,2022-03-29,-3老,2022-04-03,-1老,2022-03-21,0老,2022-03-30,-6老,2022-04-03,-5老,2022-10-21,-4老,2022-10-30,-4老, , , , , , ,2022-10-30,4老,2022-11-06,1老, , , , , , ,2022-10-19,-16老,2023-03-28,9老,2022-11-06,-4老,2023-03-28,3老,2022-12-13,8老,2023-02-15,-22老,2022-12-14,14老,2023-02-10,-32老,2022-12-19,-14老,2023-02-06,-3老,2022-10-19,2老, , ,2022-11-01,4老, , , , , , , , , , 
措备,2023,2023-04-06,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2023-03-10,-11老, , , , , , ,2023-06-19,5老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2023-05-16,7老, , , , , , ,2023-07-02,-4老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2023-09-11,3老,2023-09-19,0老,2023-02-11,-13老,2023-03-01,-13老,2023-03-08,-17老,2023-03-06,0老,2023-03-12,-6老,2023-03-14,-10老,2023-03-10,1老,2023-03-15,-8老,2023-03-20,-8老,2023-03-10,-6老,2023-03-21,-8老,2023-03-25,-8老,2023-03-28,-9老,2023-04-20,-13老,2023-04-24,-14老,2023-03-10,-9老,2023-03-22,-10老,2023-03-28,-7老,2023-03-10,-11老,2023-03-27,-9老,2023-03-31,-8老,2023-10-20,-5老,2023-11-07,4老, , , , , , ,2023-11-07,12老,2023-11-15,10老, , , , , , ,2023-11-08,4老,2024-03-21,2老,2023-11-11,1老,2024-03-15,-10老,2023-11-18,-17老,2024-03-03,-6老,2023-11-18,-12老,2024-03-03,-11老,2023-12-22,-11老,2024-01-26,-14老,2023-10-18,1老, , ,2023-10-30,2老, , , , , , , , , , 
措备,2024,2024-03-27,-19老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2024-03-15,-6老, , , , , , ,2024-06-29,15老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2024-05-21,12老, , , , , , ,2024-06-24,-12老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , ,2024-01-29,-26老,2024-02-16,-27老,2024-02-27,-27老,2024-03-11,5老,2024-03-16,-2老,2024-03-21,-3老,2024-03-04,-5老,2024-03-24,1老,2024-03-29,1老,2024-03-16,0老,2024-03-27,-2老,2024-04-01,-1老,2024-04-08,2老,2024-04-27,-6老,2024-05-02,-6老,2024-03-08,-11老,2024-03-29,-3老,2024-04-02,-2老,2024-03-16,-5老,2024-04-01,-4老,2024-04-06,-2老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
